SNS1_1,SNS1_2,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,POST1A,POST1B,POST1C,POST1D,POST1E,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,SOC2POSA,SOC2POSB,SOC2POSC,SOC2POSD,SOC2NEGA,SOC2NEGB,SOC2NEGC,SOC2NEGD,AGE,DURATION
1,0,0,0,1,1,0,0,4,4,4,4,4,0,0,0,0,0,0,0,1,3,3,2,1,3,2,3,3,16,5.916666667
0,1,1,1,0,0,0,0,3,3,3,3,4,0,0,1,0,0,0,0,0,2,2,1,3,3,2,3,3,14,13.65
0,1,0,1,0,0,0,0,1,4,3,2,4,0,0,0,0,0,1,0,0,2,3,3,3,3,3,3,3,17,18.83333333
1,1,1,1,1,0,0,0,2,1,4,2,4,1,1,1,0,1,0,1,0,1,2,1,2,3,2,2,3,15,15.08333333
1,1,1,1,1,1,0,0,2,3,2,4,3,0,1,0,0,1,0,0,0,2,3,2,2,1,1,1,1,15,17.23333333
0,0,1,0,1,0,0,0,3,3,3,2,3,0,0,0,0,0,0,0,1,2,2,2,2,3,2,2,2,13,13.7
1,1,0,1,1,0,0,0,1,3,1,1,4,1,0,0,0,0,0,1,0,1,1,1,1,3,3,3,2,17,10.45
1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,3,2,2,3,3,3,3,16,24.65
0,0,0,0,1,0,0,0,3,4,4,4,4,0,0,0,0,0,0,0,1,3,2,2,3,3,2,3,2,15,10.45
0,0,0,0,1,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,1,3,3,2,3,3,3,3,3,13,12.78333333
1,0,1,0,1,0,0,0,4,3,4,2,4,0,0,0,0,0,0,0,1,2,3,3,1,3,3,3,3,15,16.01666667
0,1,0,1,1,1,0,0,4,3,3,2,3,1,1,0,1,1,0,1,0,2,3,1,2,2,2,3,2,17,8.933333333
0,1,1,1,1,0,0,0,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,3,3,3,3,3,17,19.83333333
0,1,0,1,1,0,0,0,2,2,2,2,3,1,0,1,0,0,0,1,0,2,2,2,2,3,3,2,2,15,35.26666667
1,1,1,1,1,1,0,0,2,2,2,1,2,0,1,0,0,0,0,1,0,1,1,2,1,2,2,3,2,17,12.25
1,1,1,1,1,0,0,0,1,1,1,2,2,1,1,1,0,1,1,1,0,1,1,1,1,3,3,3,3,16,47.93333333
